iter	Logloss
0	0.6637477037
1	0.6382793203
2	0.6145248382
3	0.594206403
4	0.5741712178
5	0.5594567235
6	0.544390228
7	0.5306773369
8	0.5209746082
9	0.5084378971
10	0.4992724947
11	0.4915021141
12	0.4831123811
13	0.4760445097
14	0.4682297037
15	0.461407369
16	0.4552617978
17	0.4492464331
18	0.4439415004
19	0.4398691922
20	0.4351981975
21	0.4317999967
22	0.4291057633
23	0.4251743866
24	0.421767261
25	0.418220949
26	0.4153795001
27	0.4120219973
28	0.4094867778
29	0.4069845395
30	0.4029561939
31	0.4008569859
32	0.3977032641
33	0.3962189917
34	0.3937916948
35	0.3916483116
36	0.3895191727
37	0.3874985594
38	0.3858103431
39	0.3845213386
40	0.3817071117
41	0.3798081307
42	0.3786394661
43	0.3771978439
44	0.3759943164
45	0.3749794448
46	0.373944483
47	0.3726093706
48	0.3711083431
49	0.3702581796
50	0.3691197823
51	0.3682933337
52	0.3673850114
53	0.3655213769
54	0.3643015697
55	0.3635001042
56	0.3628696925
57	0.3622147121
58	0.3612915264
59	0.3606466309
60	0.3597506683
61	0.3586623776
62	0.358041093
63	0.357667418
64	0.3567098826
65	0.3556429381
66	0.3551336491
67	0.3537511296
68	0.3529526932
69	0.3522488351
70	0.3511511965
71	0.3506617863
72	0.349666964
73	0.3491790309
74	0.3485216379
75	0.3477449107
76	0.3467588598
77	0.3461483733
78	0.3455414006
79	0.3444289727
80	0.3439895656
81	0.3434462542
82	0.3428688615
83	0.3421019383
84	0.3416567923
85	0.3412715389
86	0.3408451466
87	0.3400010757
88	0.3390282787
89	0.3378147191
90	0.337360351
91	0.3370746628
92	0.3367339398
93	0.3363364206
94	0.3359991892
95	0.3353795402
96	0.3347807462
97	0.3344245214
98	0.33413738
99	0.3336166479
100	0.3328921387
101	0.3325945036
102	0.3319126056
103	0.331676021
104	0.330715701
105	0.3303720742
106	0.3299340857
107	0.329628629
108	0.329224171
109	0.3290700051
110	0.3284286993
111	0.3277556468
112	0.3274636761
113	0.3271734517
114	0.3268187878
115	0.3265717841
116	0.3261379546
117	0.3256726829
118	0.3250178305
119	0.3243652328
120	0.3240485545
121	0.3238195362
122	0.3231069536
123	0.3227923658
124	0.3225000085
125	0.3221967366
126	0.3219176156
127	0.3216517162
128	0.3212719806
129	0.3207467039
130	0.3203700559
131	0.3201125947
132	0.3197102081
133	0.3194523352
134	0.3192006565
135	0.3189460668
136	0.3184678819
137	0.3180911374
138	0.3174974262
139	0.3171703521
140	0.3168820612
141	0.3164120427
142	0.3161572528
143	0.3156471
144	0.3150263471
145	0.3148303675
146	0.3145679812
147	0.3142650196
148	0.3137634034
149	0.313408842
150	0.3131783056
151	0.3129306935
152	0.312533778
153	0.3123653146
154	0.3120578767
155	0.3118229415
156	0.3115738029
157	0.3111854817
158	0.3109862727
159	0.3106596788
160	0.3100109844
161	0.3095684308
162	0.3093070171
163	0.3091686464
164	0.3088623738
165	0.3086658491
166	0.3084383685
167	0.3082140568
168	0.30809793
169	0.3078319494
170	0.3076961132
171	0.3074617434
172	0.3071921607
173	0.3069871365
174	0.3066588792
175	0.3061345767
176	0.3059154114
177	0.3055893982
178	0.3052064865
179	0.3049948758
180	0.3048180047
181	0.3046044701
182	0.3045071524
183	0.3042309934
184	0.3040785251
185	0.3038446464
186	0.3035430209
187	0.303227811
188	0.3029273707
189	0.3027634037
190	0.3022965241
191	0.3020508693
192	0.3016263046
193	0.301351245
194	0.3012434073
195	0.3010947705
196	0.3007079924
197	0.3003980451
198	0.3002054514
199	0.2998968577
