iter	Passed	Remaining
0	19	3825
1	28	2784
2	37	2467
3	46	2270
4	55	2148
5	63	2064
6	72	1996
7	80	1938
8	89	1894
9	97	1858
10	106	1825
11	114	1795
12	123	1770
13	131	1752
14	140	1732
15	149	1714
16	157	1697
17	166	1681
18	174	1663
19	183	1648
20	191	1631
21	199	1615
22	208	1601
23	216	1588
24	224	1574
25	233	1563
26	241	1550
27	250	1537
28	258	1523
29	266	1510
30	274	1498
31	283	1486
32	291	1475
33	299	1463
34	308	1452
35	316	1441
36	324	1431
37	333	1421
38	342	1411
39	350	1400
40	358	1390
41	367	1383
42	376	1373
43	384	1363
44	392	1353
45	401	1343
46	409	1334
47	418	1325
48	426	1315
49	435	1305
50	443	1295
51	452	1287
52	460	1277
53	469	1268
54	477	1259
55	486	1250
56	494	1240
57	502	1230
58	510	1221
59	519	1212
60	528	1203
61	536	1194
62	546	1187
63	557	1184
64	567	1178
65	579	1176
66	593	1177
67	603	1171
68	612	1163
69	620	1153
70	630	1144
71	638	1134
72	646	1124
73	654	1114
74	662	1104
75	671	1094
76	679	1085
77	688	1076
78	696	1067
79	704	1057
80	713	1048
81	721	1038
82	730	1029
83	738	1020
84	747	1010
85	755	1001
86	763	992
87	772	982
88	780	973
89	789	964
90	797	955
91	806	946
92	814	937
93	823	928
94	831	918
95	839	909
96	848	900
97	856	891
98	864	882
99	873	873
100	881	864
101	889	854
102	898	846
103	907	837
104	915	828
105	924	819
106	932	810
107	940	801
108	949	792
109	957	783
110	965	774
111	973	765
112	982	756
113	990	747
114	998	738
115	1007	729
116	1015	720
117	1024	711
118	1032	702
119	1040	693
120	1049	684
121	1057	676
122	1065	667
123	1074	658
124	1082	649
125	1090	640
126	1099	631
127	1107	622
128	1115	614
129	1124	605
130	1132	596
131	1141	588
132	1149	579
133	1158	570
134	1166	561
135	1175	552
136	1182	543
137	1191	535
138	1199	526
139	1207	517
140	1215	508
141	1224	500
142	1232	491
143	1240	482
144	1249	473
145	1257	465
146	1266	456
147	1274	447
148	1282	439
149	1291	430
150	1299	421
151	1307	413
152	1316	404
153	1324	395
154	1333	387
155	1341	378
156	1349	369
157	1358	361
158	1366	352
159	1375	343
160	1383	335
161	1391	326
162	1400	317
163	1408	309
164	1416	300
165	1425	291
166	1433	283
167	1442	274
168	1450	266
169	1459	257
170	1467	248
171	1475	240
172	1484	231
173	1492	222
174	1500	214
175	1509	205
176	1517	197
177	1526	188
178	1535	180
179	1543	171
180	1551	162
181	1559	154
182	1568	145
183	1576	137
184	1584	128
185	1593	119
186	1601	111
187	1610	102
188	1618	94
189	1627	85
190	1635	77
191	1644	68
192	1652	59
193	1661	51
194	1669	42
195	1678	34
196	1686	25
197	1695	17
198	1703	8
199	1711	0
