iter	Passed	Remaining
0	17	5149
1	27	4057
2	33	3334
3	40	2974
4	45	2688
5	50	2482
6	55	2336
7	61	2249
8	66	2159
9	72	2089
10	78	2063
11	83	2012
12	91	2011
13	100	2059
14	109	2081
15	116	2066
16	122	2038
17	128	2006
18	133	1976
19	139	1950
20	144	1926
21	150	1899
22	155	1867
23	159	1837
24	164	1807
25	169	1783
26	173	1754
27	178	1729
28	182	1703
29	186	1678
30	190	1652
31	194	1625
32	197	1601
33	201	1576
34	205	1552
35	208	1529
36	211	1505
37	215	1484
38	218	1463
39	221	1441
40	224	1419
41	227	1399
42	230	1379
43	233	1359
44	236	1341
45	239	1323
46	242	1305
47	245	1289
48	248	1272
49	251	1256
50	254	1242
51	257	1227
52	260	1213
53	263	1199
54	266	1186
55	269	1173
56	272	1160
57	275	1149
58	278	1136
59	281	1124
60	283	1112
61	286	1101
62	289	1089
63	292	1077
64	295	1066
65	297	1055
66	300	1045
67	303	1034
68	306	1025
69	308	1014
70	311	1004
71	314	994
72	316	984
73	319	975
74	321	965
75	324	955
76	326	945
77	329	937
78	331	928
79	334	919
80	336	910
81	339	901
82	341	892
83	344	884
84	346	876
85	349	868
86	351	860
87	354	853
88	356	845
89	359	839
90	362	833
91	366	828
92	369	822
93	372	816
94	375	810
95	378	804
96	381	798
97	384	792
98	387	786
99	390	780
100	393	774
101	395	768
102	398	762
103	401	756
104	404	751
105	407	745
106	410	739
107	412	733
108	415	728
109	418	722
110	421	717
111	424	711
112	426	706
113	429	701
114	432	695
115	435	690
116	438	685
117	441	680
118	443	674
119	446	669
120	449	664
121	452	660
122	455	655
123	458	650
124	460	645
125	463	640
126	466	635
127	469	630
128	471	625
129	474	620
130	477	616
131	480	611
132	482	606
133	485	602
134	488	597
135	491	592
136	494	588
137	497	583
138	500	579
139	503	574
140	505	570
141	508	565
142	511	561
143	514	556
144	517	552
145	519	548
146	522	543
147	525	539
148	527	535
149	530	530
150	533	526
151	536	522
152	539	518
153	542	513
154	544	509
155	547	505
156	550	501
157	553	497
158	556	493
159	558	489
160	561	485
161	565	481
162	567	477
163	570	473
164	573	469
165	576	465
166	578	461
167	581	457
168	584	453
169	587	449
170	590	445
171	592	441
172	595	437
173	598	433
174	601	429
175	604	425
176	607	421
177	610	418
178	612	414
179	615	410
180	618	406
181	620	402
182	623	398
183	626	395
184	629	391
185	632	387
186	635	383
187	638	380
188	640	376
189	643	372
190	646	368
191	648	365
192	651	361
193	654	357
194	657	353
195	660	350
196	662	346
197	665	342
198	668	339
199	671	335
200	674	332
201	677	328
202	679	324
203	682	321
204	685	317
205	688	314
206	691	310
207	693	306
208	696	303
209	699	299
210	702	296
211	704	292
212	707	289
213	710	285
214	713	282
215	716	278
216	718	275
217	721	271
218	724	267
219	727	264
220	729	260
221	732	257
222	735	253
223	738	250
224	741	247
225	743	243
226	746	240
227	748	236
228	751	233
229	754	229
230	757	226
231	760	222
232	762	219
233	765	215
234	768	212
235	771	209
236	774	205
237	776	202
238	779	198
239	782	195
240	785	192
241	787	188
242	790	185
243	793	182
244	795	178
245	798	175
246	801	172
247	804	168
248	807	165
249	810	162
250	813	158
251	815	155
252	818	152
253	821	148
254	824	145
255	827	142
256	829	138
257	832	135
258	835	132
259	838	128
260	840	125
261	843	122
262	846	119
263	849	115
264	852	112
265	854	109
266	857	106
267	860	102
268	863	99
269	865	96
270	868	92
271	871	89
272	874	86
273	876	83
274	879	79
275	882	76
276	885	73
277	888	70
278	890	67
279	893	63
280	896	60
281	899	57
282	901	54
283	904	50
284	908	47
285	911	44
286	914	41
287	916	38
288	919	34
289	921	31
290	925	28
291	927	25
292	931	22
293	935	19
294	937	15
295	940	12
296	943	9
297	945	6
298	948	3
299	951	0
