iter	Passed	Remaining
0	5	1612
1	9	1427
2	14	1393
3	18	1363
4	22	1342
5	27	1325
6	31	1304
7	35	1304
8	40	1294
9	44	1283
10	48	1273
11	53	1273
12	57	1268
13	61	1260
14	66	1257
15	70	1249
16	74	1241
17	79	1238
18	83	1232
19	87	1226
20	91	1217
21	95	1211
22	99	1204
23	104	1196
24	108	1189
25	112	1188
26	116	1182
27	121	1178
28	125	1175
29	130	1170
30	134	1162
31	137	1155
32	142	1150
33	146	1146
34	150	1139
35	154	1135
36	159	1131
37	163	1125
38	167	1119
39	171	1114
40	175	1110
41	180	1106
42	184	1101
43	188	1096
44	193	1093
45	197	1088
46	201	1085
47	206	1082
48	210	1078
49	214	1073
50	218	1067
51	223	1063
52	227	1058
53	231	1054
54	235	1049
55	239	1045
56	244	1042
57	248	1037
58	252	1032
59	257	1028
60	261	1024
61	265	1019
62	269	1014
63	273	1009
64	277	1004
65	282	999
66	286	995
67	290	991
68	294	986
69	298	981
70	302	977
71	307	973
72	311	968
73	315	963
74	319	959
75	324	955
76	328	951
77	333	947
78	337	942
79	341	937
80	345	932
81	349	927
82	353	923
83	357	918
84	361	913
85	365	908
86	369	904
87	373	899
88	377	895
89	381	890
90	385	886
91	389	881
92	394	877
93	398	872
94	402	868
95	406	863
96	410	858
97	414	854
98	418	849
99	422	844
100	426	840
101	430	835
102	434	831
103	438	827
104	443	822
105	447	818
106	452	815
107	456	810
108	460	806
109	464	801
110	468	797
111	472	793
112	477	789
113	481	785
114	485	781
115	489	776
116	493	772
117	497	767
118	502	764
119	506	760
120	511	755
121	515	751
122	519	747
123	523	742
124	527	738
125	531	734
126	535	729
127	540	725
128	544	721
129	548	716
130	552	712
131	556	708
132	560	703
133	564	699
134	568	694
135	572	690
136	576	686
137	580	681
138	584	676
139	588	672
140	592	668
141	596	663
142	600	659
143	604	655
144	608	650
145	612	646
146	617	642
147	621	638
148	625	633
149	629	629
150	633	625
151	637	621
152	642	617
153	646	613
154	651	609
155	654	604
156	658	600
157	662	595
158	666	591
159	670	586
160	674	582
161	678	577
162	682	573
163	686	568
164	689	564
165	693	559
166	697	555
167	700	550
168	704	545
169	708	541
170	711	537
171	715	532
172	718	527
173	722	523
174	725	518
175	729	513
176	732	509
177	736	504
178	739	500
179	743	495
180	746	490
181	750	486
182	753	481
183	756	477
184	760	472
185	763	468
186	766	463
187	770	458
188	773	454
189	776	449
190	780	445
191	783	440
192	786	436
193	789	431
194	792	426
195	795	422
196	798	417
197	802	413
198	805	408
199	808	404
200	812	399
201	815	395
202	818	390
203	821	386
204	824	382
205	827	377
206	830	373
207	833	368
208	836	364
209	839	359
210	843	355
211	846	351
212	849	346
213	852	342
214	855	338
215	859	334
216	862	329
217	865	325
218	868	321
219	871	316
220	875	312
221	878	308
222	881	304
223	884	300
224	887	295
225	891	291
226	894	287
227	897	283
228	900	279
229	903	274
230	906	270
231	910	266
232	913	262
233	916	258
234	919	254
235	922	250
236	925	246
237	929	242
238	932	237
239	935	233
240	938	229
241	942	225
242	945	221
243	948	217
244	951	213
245	954	209
246	957	205
247	960	201
248	964	197
249	967	193
250	970	189
251	973	185
252	976	181
253	979	177
254	982	173
255	986	169
256	989	165
257	992	161
258	995	157
259	998	153
260	1001	149
261	1004	145
262	1007	141
263	1011	137
264	1014	133
265	1017	130
266	1020	126
267	1023	122
268	1026	118
269	1029	114
270	1032	110
271	1035	106
272	1039	102
273	1042	98
274	1045	95
275	1048	91
276	1051	87
277	1054	83
278	1058	79
279	1061	75
280	1064	71
281	1067	68
282	1071	64
283	1074	60
284	1077	56
285	1080	52
286	1083	49
287	1087	45
288	1090	41
289	1093	37
290	1096	33
291	1099	30
292	1102	26
293	1106	22
294	1109	18
295	1112	15
296	1115	11
297	1118	7
298	1122	3
299	1125	0
